no,word,created_at,updated_at,use,example,part_of_speech,pronunciation,mean
5671,수요일,2024-01-04 19:04:00,,Y,"[[""지수는 수요일마다 친구들을 만나 영화를 보았다."",""수요일부터 금요일까지 삼 일간 학교에서 시험을 본다.""]]",명사,[수요일],"[""월요일을 기준으로 한 주의 셋째 날.""]"
5672,목요일,2024-01-04 19:04:00,,Y,"[[""새 프로그램은 매주 목요일 저녁 일곱 시에 방영될 예정이다."",""지수는 금요일 수업의 발표 과제를 전날인 목요일 저녁 늦게까지 준비하였다.""]]",명사,[모교일],"[""월요일을 기준으로 한 주의 넷째 날.""]"
5673,금요일,2024-01-04 19:04:00,,Y,"[[""우리 회사는 금요일부터 일요일까지 일주일에 삼 일이나 쉰다."",""나는 매주 금요일 저녁마다 친구들과 놀면서 한 주 동안 쌓인 스트레스를 풀었다.""]]",명사,[그묘일],"[""월요일을 기준으로 한 주의 다섯째 날.""]"
5674,토요일,2024-01-04 19:04:00,,Y,"[[""토요일에는 다음 날 학교에 가지 않아도 된다는 생각에 부담 없이 놀 수 있다."",""일주일에 오 일만 일하는 회사가 늘어나면서 토요일에 교외로 나가는 사람들이 많아졌다.""]]",명사,[토요일],"[""월요일을 기준으로 한 주의 여섯째 날.""]"
5675,일요일,2024-01-04 19:04:00,,Y,"[[""나는 매주 일요일 오전에 교회에 간다."",""형은 일요일 저녁마다 다음 주의 계획을 세운다."",""토요일과 일요일에 너무 열심히 놀았더니 월요일이 힘들다.""]]",명사,[이료일],"[""월요일을 기준으로 한 주의 마지막 날.""]"
5676,국어,2024-01-04 19:04:00,2024-01-05 11:04:00,Y,"[[""고등학교 국어."",""오늘은 국어 시간에 조선 시대 소설에 대해 공부했다."",""책을 많이 읽고 글 쓰는 것을 좋아하는 형은 국어 선생님이 되는 것이 꿈이다.""]]",명사,[구거],"[""한국의 학교에서 가르치는 한국어에 대한 과목.""]"
5677,수학,2024-01-04 19:04:00,2024-01-05 19:49:00,Y,"[[""선생님은 수학 시간에 학생들에게 구구단을 다 외우라고 시켰다."",""민준이는 삼각형의 넓이를 구하라는 수학 문제를 풀지 못해 끙끙댔다.""]]",명사,[수ː학],"[""수를 헤아리거나 공간을 측정하는 등의 수와 양에 관한 학문.""]"
5678,안전,2024-01-04 19:04:00,,Y,"[[""국방부는 국가의 안전을 국내외로 도모하는 부서이다."",""승무원이 비행기 이륙 전에 기내 안전 교육을 실시하고 있다."",""대통령은 신변의 안전을 위해 외출 시 늘 경호원을 대동한다."",""이 기계는 위험이 감지되면 안전 장치가 작동되어 사고를 방지한다."",""롤러스케이트를 탈 때 사고가 생기지 않으려면 안전 수칙을 잘 지켜야 한다.""]]",명사,[안전],"[""위험이 생기거나 사고가 날 염려가 없음. 또는 그러한 상태.""]"
5679,창제,2024-01-04 19:04:00,,Y,"[[""세종 대왕이 15세기에 한글 창제를 하였다."",""한글 창제 당시에는 우리 글자를 만드는 것을 반대하는 사람도 많았다.""]]",명사,[창ː제],"[""전에 없던 것을 처음으로 만들거나 정함.""]"
5680,통합,2024-01-04 19:04:00,,Y,"[[""몇몇 언론사가 하나의 언론사로 통합을 추진하고 나섰다."",""동서의 장벽을 없앤 독일은 마침내 경제 통합도 이루었다."",""이 학회는 비슷한 연구를 진행했던 세 개의 학회가 통합을 결정하고 만든 학회이다.""]]",명사,[통ː합],"[""여러 개의 기구나 조직 등을 하나로 합침.""]"
5681,도덕,2024-01-04 19:04:00,2024-01-05 19:48:00,Y,"[[""김 선생은 삼십 년 동안 중학교에서 도덕을 가르쳤다."",""도덕 교과서에는 전통적인 예절과 예법 교육에 관한 내용이 빠지지 않는다.""]]",명사,[도ː덕],"[""학교에서 한 사회의 가치 체계를 가르치는 과목.""]"
5666,오전,2024-01-04 19:04:00,2024-01-05 10:50:00,Y,"[[""오전 두 시."",""우리 회사의 모든 사원들은 오전 여덟 시까지 출근해야 한다."",""그는 무슨 급한 일이 있는지 오전 일곱 시부터 나를 찾아왔다.""]]",명사,[오ː전],"[""밤 열두 시부터 낮 열두 시까지의 동안.""]"
5667,오후,2024-01-04 19:04:00,2024-01-05 10:52:00,Y,"[[""오후 동안."",""그는 해가 뜨는 오전보다는 해가 지는 오후에 집중력이 좋다."",""기상청은 오늘 오후 아홉 시를 기준으로 남해안에 태풍 주의보를 발령했다.""]]",명사,[오ː후],"[""정오부터 밤 열두 시까지의 시간.""]"
5684,음악,2024-01-04 19:04:00,,Y,"[[""나는 오디오에서 흘러나오는 음악에 맞추어 노래를 흥얼거렸다."",""어릴 적부터 피아노를 배워 온 언니는 음악을 공부하러 유학을 떠났다.""]]",명사,[으막],"[""목소리나 악기로 박자와 가락이 있게 소리 내어 생각이나 감정을 표현하는 예술.""]"
5685,미술,2024-01-04 19:04:00,,Y,"[[""선생님은 방학 숙제로 그림을 한 장씩 그려 오는 미술 숙제를 내 주셨다."",""어렸을 때부터 조각을 좋아하던 지수는 대학에서 미술을 전공하고 있다.""]]",명사,[미ː술],"[""그림이나 조각처럼 눈으로 볼 수 있는 아름다움을 표현한 예술.""]"
5686,체육,2024-01-04 19:04:00,,Y,"[[""몸을 많이 움직이지 않는 현대인들에게 체육은 더욱 중요해졌다."",""체육을 통해 건강을 관리하고 체력을 키우는 사람들이 늘어나고 있다.""],[""체육 선생님이 학생들에게 준비 운동을 시키고 있다."",""우리 학교는 한여름이나 한겨울에는 운동장이 아닌 체육관에서 체육 수업을 했다.""]]",명사,[체육],"[""운동을 통해 몸을 튼튼하게 만드는 일. 또는 그런 목적으로 하는 운동."",""운동, 체조 등의 신체 활동을 통해 건강을 유지하고 체력을 향상시키기 위해 하는 교육.""]"
5687,영어,2024-01-04 19:04:00,,Y,"[[""나는 미국에 갔을 때 영어를 잘 못해서 고생한 경험이 있다."",""많은 어린이들이 유치원과 초등학교에서 영어를 배우고 있다.""]]",명사,[영어],"[""영국과 미국 등 세계적으로 가장 널리 쓰이는 언어.""]"
5688,실과,2024-01-04 19:04:00,2024-01-05 10:53:00,Y,,,[실과],
5689,바이올린,2024-01-04 19:04:00,,Y,"[[""나는 클래식 음악을 좋아하는데, 특히 피아노와 바이올린의 이중주를 좋아한다."",""어렸을 때부터 다양한 악기를 배워 온 유민이는 시간이 날 때면 피아노를 치기도 하고 바이올린을 켜기도 했다.""]]",명사,[바이올린],"[""가운데가 잘록한 타원형 몸통에 네 줄을 매고 활로 줄을 문질러서 소리를 내는 악기.""]"
